authors,article-title,doi,journal
Mayank Goyal|Johanna M. Ospel|Aravind Ganesh|Dar Dowlatshahi|David Volders|Markus Möhlenbruch|Mouhammad Jumaa|Shahid M. Nimjee|Thomas C. Booth|Brian Buck|James Kennedy|Jai Shankar|Franziska Dorn|Liqun Zhang|Christian Hametner|Sándor Nardai|Atif Zafar|William K. Diprose|Shabnam Vatanpour|Alexander Stebner|Salome Lou Bosshart|Nishita Singh|Ivy Sebastian|Kazutaka Uchida|Karla J. Ryckborst|Robert Fahed|Sherry Hu|Dominik F. Vollherbst|Syed Zaidi|Vivien Lee|Jeremy Lynch|Jeremy Rempel|Rachel Teal|Anurag Trivedi|Felix J. Bode|Ayokunle Ogungbemi|Mirko Pham|Péter Orosz|Mohamad Abdalkader|Christian Taschner|Jason Tarpley|Sven Poli|Ravinder‐Jeet Singh|Reade De Leacy|George Α. Lopez|Demetrios J. Sahlas|Michael Chen|Paul Burns|Joanna D. Schaafsma|Richard Marigold|Arno Reich|Adewumi Amole|Thalia S. Field|Richard H. Swartz|Fabio Settecase|Gábor Lenzsér|Santiago Ortega‐Gutiérrez|Negar Asdaghi|Kyriakos Lobotesis|Adnan H. Siddiqui|J. Berrouschot|Maxim Mokin|Koji Ebersole|Hauke Schneider|Albert J. Yoo|Jennifer Mandzia|Jesse Klostranec|Changez Jadun|Tufail Patankar|Eric Sauvageau|Robert Lenthall|Lissa Peeling|Thien Huynh|Ronald F. Budzik|Seon-Kyu Lee|Levansri Makalanda|Michael R. Levitt|Richard Perry|Thant Hlaing|Babak S. Jahromi|Paul Singh|Andrew M. Demchuk|Michael D. Hill,Endovascular Treatment of Stroke Due to Medium-Vessel Occlusion,https://doi.org/10.1056/nejmoa2411668,New England Journal of Medicine
Noah Ivers|Sharlini Yogasingam|Meagan Lacroix|Kevin A. Brown|Jesmin Antony|Charlene Soobiah|Michelle Simeoni|Thomas A. Willis|Jacob Crawshaw|Vivi Antonopoulou|Carly Meyer|Nathan M. Solbak|Brenna J Murray|E. Brian Butler|Simone Lepage|Martina Giltenane|Mary D Carter|Guillaume Fontaine|Michael Sykes|Michael Halasy|Abdalla Bazazo|Samantha Seaton|Tony Canavan|Sarah Alderson|Catherine Reis|Stefanie Linklater|Aislinn Lalor|Ashley Fletcher|Emma Gearon|Hazel Jenkins|Jason A. Wallis|Liesl Grobler|Lisa Beccaria|Sheila Cyril|Tomas Rozbroj|Jia Xi Han|Alice X T Xu|Kelly Wu|Geneviève Rouleau|Mihir M. Shah|Kristin J. Konnyu|Heather Colquhoun|Justin Presseau|Denise O’Connor|Fabiana Lorencatto|Jeremy Grimshaw,Audit and feedback: effects on professional practice,https://doi.org/10.1002/14651858.cd000259.pub4,Cochrane Database of Systematic Reviews
Chloé Pronovost-Morgan|Kyle T. Greenway|Leor Roseman|The ReSPCT Experts|Jacob S. Aday|Gabrielle Agin-Liebes|Kirran Ahmad|Helena Aicher|Marc Aixalà|Simon Amar|Dráulio Barros de Araújo|Frederick S. Barrett|Alexander Belser|Marc G. Blainey|Michael Bourne|R.W. Bowman|Joost J. Breeksema|Kayla Breelove Carter|Jacqueline Bussey|Carmen Cámara|Nicholas K. Canby|Jimena Chalchi|James Close|Timothy C. Cox|Pedram Daraeizadeh|Alan K. Davis|Sara de la Salle|Neşe Devenot|Erika Dyck|David Erritzøe|Houman Farzin|Phoebe Friesen|Nicolas Garel|Josephine Giblin|Tasha L. Golden|George Greer|Natalie Gukasyan|Jeffrey Guss|Emma Hapke|Ido Hartogsohn|Friederike Holze|Hannes Kettner|Adam Knowles|Nicolas Langlitz|Alexandre Lehmann|Michael Lifshitz|Philippe Lucas|Katherine A. MacLean|Orla Mallon|Olivia Marcus|Jerónimo Mazarrasa|Rosalind McAlpine|Francisco Moreno|Logan Neitzke‐Spruill|Tehseen Noorani|Peter Oehen|Genís Oña|Fernanda Palhano-Fontes|Ryan Patchett-Marble|Gail Peekeekoot|Daniel Perkins|Katrin H. Preller|Johannes G. Ramaekers|Sara Reed|Dimitris Repantis|Brian D. Richards|William A. Richards|Sally Risby|Jessica Rochester|Ian Roullier|James Rucker|Simon Ruffell|James W. Sanders|L. Schneider|Thomas Shutte|Balázs Szigeti|Sayali Tadwalkar|Julien Thibault Lévesque|Christopher Timmermann|Keren Tzarfaty|H. Bradley Wells|Keith Williams,An international Delphi consensus for reporting of setting in psychedelic clinical trials,https://doi.org/10.1038/s41591-025-03685-9,Nature Medicine
Amy C. Moreno|Erin Watson|Laia Humbert‐Vidan|Douglas E. Peterson|Lisanne V. van Dijk|Teresa Guerrero Urbano|L. Van den Bosch|Andrew Hope|Matthew S. Katz|Frank Hoebers|Ruth Aponte Wesson|James E. Bates|Paolo Bossi|Adeyinka F. Dayo|Mélanie Dore|Eduardo Rodrigues Fregnani|Thomas J. Galloway|Daphna Y. Gelblum|Issa A. Hanna|Christina Henson|Sudarat Kiat‐amnuay|Anke Korfage|Nancy Y. Lee|Carol M. Lewis|Charlotte Duch Lynggaard|Antti Mäkitie|Marco Magalhaes|Yvonne M. Mowery|Carles Muñoz‐Montplet|Jeffrey N. Myers|Ester Orlandi|Jaymit Patel|Jillian Rigert|Deborah Saunders|Jonathan D. Schoenfeld|Uğur Selek|Efsun Somay|Vinita Takiar|Juliette Thariat|Gerda M. Verduijn|Alessandro Villa|Nick West|Max J. H. Witjes|Alex Won|Mark E. Wong|Christopher M. K. L. Yao|Simon Young|Kamal Al‐Eryani|Carly E. A. Barbon|Doke J.M. Buurman|François J. Dieleman|Theresa M. Hofstede|Abdul Ahad Khan|Adegbenga O. Otun|John C. Robinson|Lauren Hum|Jørgen Johansen|Rajesh V. Lalla|Alexander Lin|Vinod Patel|Richard Shaw|Mark S. Chambers|J. Daniel|Mabi Singh|Noam Yarom|Abdallah Mohamed|Katherine A. Hutcheson|Stephen Y. Lai|Clifton D. Fuller,"International Expert-Based Consensus Definition, Classification Criteria, and Minimum Data Elements for Osteoradionecrosis of the Jaw: An Interdisciplinary Modified Delphi Study",https://doi.org/10.1016/j.ijrobp.2024.12.017,International Journal of Radiation Oncology*Biology*Physics
Erlan Sanchez|Gillian Coughlan|Tim Wilkinson|Joel Ramirez|Saira Saeed Mirza|Andrée‐Ann Baril|Allison A. Dilliott|Andrew Frank|Anthony E. Lang|Ayman Hassan|Bruce G. Pollock|Christopher J.M. Scott|Connie Marras|Corinne E. Fischer|Dallas Seitz|Daniela Andriuta|Dar Dowlatshahi|David A. Grimes|David F. Tang‐Wai|Demetrios J. Sahlas|Ekaterina Rogaeva|Elizabeth Finger|John F. Robinson|Kübra Tan|Malcolm A. Binns|Maria Carmela Tartaglia|Michael Borrie|Michael J. Strong|Miracle Ozzoude|Nuwan D. Nanayakkara|Rafaella A. Gonçalves|Robert Bartha|Robert A. Hegele|Sali M.K. Farhan|Sandra E. Black|Sanjeev Kumar|Sean Symons|Seyyed Mohammad Hassan Haddad|Stephen Pasternak|Stephen R. Arnott|Tarek K. Rajji|Thomas Steeves|Walter Swardfager|Nicholas J. Ashton|Hlin Kvartsberg|Henrik Zetterberg|Douglas P. Munoz|Mario Masellis|for the ONDRI Investigators,Association of Plasma Biomarkers With Longitudinal Atrophy and Microvascular Burden on MRI Across Neurodegenerative and Cerebrovascular Diseases,https://doi.org/10.1212/wnl.0000000000213438,Neurology
Rohan Dharmakumar|Robert A. Kloner|Michael Fishbein|Gerd Heusch|Keyur Vora|Robert J. Gropler|Timothy D. Henry|Fai Shing-Chan|Dhirendra Pratap Singh|Nithya Jambunathan|Ramesh Subramanian|Rolf P. Kreutz|Grant W. Reed|Richard J. Kovacs|Edward T.A. Fry|Ankur Kalra|Andreas Kumar|Subha V. Raman,Reperfused Myocardial Infarction,https://doi.org/10.1016/j.jacadv.2024.101528,JACC Advances
Kanjana Perera|Mukul Sharma|John W. Eikelboom|Kelvin Kuan Huei Ng|Thalia S. Field|Brian Buck|Michael D. Hill|Grant Stotts|Leanne K. Casaubon|Jennifer Mandzia|Aristeidis H. Katsanos|Samuel Yip|Ashkan Shoamanesh|G. Bryan Young|Ramana Appireddy|Sumiti Nayar|Rick Swartz|Amanda Taylor|Alexandra Carrier|Abhilekh Srivastava|Aviraj S. Deshmukh|Robin Zhao|Robert G. Hart|on behalf of the CATIS-ICAD Investigators,Combination Antithrombotic Therapy for Reduction of Recurrent Ischemic Stroke in Intracranial Atherosclerotic Disease,https://doi.org/10.1161/strokeaha.124.047715,Stroke
Caio Vinícius Suartz|Lucas Motta Martinez|Marcela de Andrade Silvestre|Richard Dobrucki de Lima|Pedro Henrique Souza Brito|Ketlyn Assunção Galhardo|Roberto Iglesias Lopes|Viviane Tavares de Moraes|Camila de Moraes|Luana Covatti|Maria Fernanda Dias Azevedo|Lana Carneiro Almeida|Debora Narumi Demitrol Setoue|Natália Doratioto Serrano Faria Braz|José de Bessa|Fernando Korkes|Leonardo Oliveira Reis|Kátia Ramos Moreira Leite|William Carlos Nahas|Paul Toren|Leopoldo Alves Ribeiro‐Filho,Urachal Carcinomas: A Comprehensive Systematic Review and Meta-analysis,https://doi.org/10.1590/s1677-5538.ibju.2024.0665,International braz j urol
Jeffrey R. Brubacher|Shannon Erdelyi|Herbert Chan|Sarah Simmons|Paul Atkinson|Floyd Besserer|David B. Clarke|Philip J. Davis|Raoul Daoust|Marcel Émond|Jeff Eppler|Jacques Lee|Andrew MacPherson|Kirk Magee|Éric Mercier|Robert Ohle|Mike Parsons|Jagadish Rao|Brian H. Rowe|John A.M. Taylor|Christian Vaillancourt|Ian Wishart,Prevalence of Impairing Substance Use in Injured Drivers,https://doi.org/10.1001/jamanetworkopen.2025.6379,JAMA Network Open
Dalal S. Ali|Aliya Khan|Archibald Morrison|Sotirios Tetradis|Reza Mirza|Mohamed El Rabbany|Bo Abrahamsen|Tara Aghaloo|Hatim Al-Alwani|Rana Aldabagh|Athanasios D. Anastasilakis|Mohit Bhandari|Jean-Jacques Body|Maria Luisa Brandi|Romina Brignardello-Petersen|Jacques P. Brown|Angela M. Cheung|Juliet Compston|Cyrus Cooper|Adolfo Díez‐Pérez|Serge Ferrari|Gordon Guyatt|David A. Hanley|Nicholas C. Harvey|Robert G. Josse|David L. Kendler|Sarah Khan|Sandra Kim|Bente Langdahl|Christos Magopoulos|Basel Masri|Sarah Morgan|Suzanne N. Morin|Nicola Napoli|Barbara Obermayer‐Pietsch|Andrea Palermo|Jessica Pepe|Edmund Peters|Dominique D. Pierroz|René Rizzoli|Deborah Saunders|Clark M. Stanford|Riad A. Sulimani|Akira Taguchi|Sakae Tanaka|Nelson B. Watts|Joile Zamudio|M. Carola Zillikens|Salvatore L. Ruggiero,Antiresorptive Therapy to Reduce Fracture Risk and Effects on Dental Implant Outcomes in Patients With Osteoporosis: A Systematic Review and Osteonecrosis of the Jaw Taskforce Consensus Statement,https://doi.org/10.1016/j.eprac.2025.02.016,Endocrine Practice
